NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,OFF STREET NAME,YELP_BAR,YELP_DRINK,YELP_FOOD,YELP_MUSIC,YELP_SHOW,FOUR_SQUARE_DRINK,FOUR_SQUARE_FOOD
0,PARSONS BOULEVARD,32,0,2,11365,-73.8108998,0,0,PARSONS BOULEVARD,0,1,40.7303024,3,QUEENS,,0,0,0,0,0,0,294
0,ROOSEVELT AVENUE,32,0,2,11372,-73.88578890000002,0,0,ROOSEVELT AVENUE,0,1,40.7474405,3,QUEENS,,3,2,7,2,2,0,2
0,18 STREET,32,0,5,11232,-73.9960494,2,0,18 STREET,0,0,40.6656729,7,BROOKLYN,,0,0,0,0,0,0,0
0,EDWARD L GRANT HIGHWAY,32,0,17,10452,-73.92295490000002,1,0,EDWARD L GRANT HIGHWAY,0,3,40.8439815,21,BRONX,,1,1,1,0,0,0,0
0,CHURCH STREET,32,0,2,10007,-74.0083868,0,0,WARREN STREET,0,2,40.7143621,4,MANHATTAN,,9,13,13,4,6,0,0
0,ATLANTIC AVENUE,32,0,11,11238,-73.9665738,0,0,ATLANTIC AVENUE,0,0,40.6815658,11,BROOKLYN,,4,4,2,4,2,0,0
0,EAST 51 STREET,32,0,2,11203,-73.9293933,1,0,EAST 51 STREET,0,1,40.6519384,4,BROOKLYN,,0,0,0,0,0,0,0
0,CORSA AVENUE,32,0,5,10469,-73.8472983,0,0,CORSA AVENUE,0,6,40.8767328,11,BRONX,,0,0,1,0,0,0,59
0,RESERVOIR AVENUE,32,0,14,10468,-73.8989172,1,0,RESERVOIR AVENUE,0,4,40.8696589,19,BRONX,,0,0,0,0,0,0,0
0,2 AVENUE,32,0,11,11215,-73.9933777,2,0,9 STREET,0,1,40.6726033,14,BROOKLYN,,0,0,1,1,1,0,0
0,COLUMBUS AVENUE,32,0,1,10023,-73.9792787,0,0,COLUMBUS AVENUE,0,0,40.7767295,1,MANHATTAN,,14,16,16,5,3,0,43
0,HILLSIDE AVENUE,32,0,14,11432,-73.7805895,0,0,HILLSIDE AVENUE,0,4,40.7134287,18,QUEENS,,0,0,1,0,0,0,2
0,WEST BROADWAY,32,0,0,10013,-74.00376640000002,2,0,WEST BROADWAY,0,5,40.72238529999999,7,MANHATTAN,,10,10,11,7,3,0,0
0,MONTGOMERY STREET,32,0,3,11225,-73.95686020000002,4,0,MONTGOMERY STREET,0,5,40.6657198,12,BROOKLYN,,1,0,3,1,1,0,0
0,40 STREET,32,0,3,11232,-74.00449029999999,3,0,40 STREET,0,8,40.6507056,14,BROOKLYN,,3,4,11,1,1,0,0
0,NARROWS ROAD NORTH,32,0,14,10305,-74.06899709999998,0,0,NARROWS ROAD NORTH,0,0,40.604396799999996,14,STATEN ISLAND,,0,0,0,0,0,0,0
0,WEBSTER AVENUE,32,0,9,10467,-73.874758,0,0,PARK SIDE PLACE,0,0,40.8731621,9,BRONX,,1,0,1,0,0,0,0
0,EAST 95 STREET,32,0,1,10128,-73.9452114,0,0,EAST 95 STREET,0,2,40.7825701,3,MANHATTAN,,1,1,2,1,0,0,316
0,LONG ISLAND EXPRESSWAY,31,0,8,11378,-73.9120743,0,0,,0,0,40.7299258,8,QUEENS,,0,0,0,0,0,0,0
0,NOSTRAND AVENUE,31,0,6,11205,-73.9529233,1,0,NOSTRAND AVENUE,0,0,40.6972035,7,BROOKLYN,,0,0,0,0,0,0,0
0,LAFAYETTE AVENUE,31,0,7,10465,-73.83629300000003,0,0,,0,0,40.82439220000001,7,BRONX,,0,0,0,0,0,0,0
0,GRND CNTRL PARKWAY SR SOUTH,31,0,2,11375,-73.8359648,0,0,GRND CNTRL PARKWAY SR WEST,0,0,40.7216784,2,QUEENS,,0,0,0,0,0,0,0
0,LEFFERTS BOULEVARD,31,0,19,11419,-73.8232602,0,0,LEFFERTS BOULEVARD,0,0,40.684382799999995,19,QUEENS,,0,0,0,0,0,0,0
0,RICHMOND ROAD,31,0,6,10306,-74.10392420000002,0,0,SEAVER AVENUE,0,0,40.5870756,6,STATEN ISLAND,,1,0,3,0,1,0,0
0,68 STREET,31,0,6,11220,-74.0232355,1,0,68 STREET,0,3,40.63531879999999,10,BROOKLYN,,1,6,12,1,1,0,102
0,VICTORY BOULEVARD,31,0,0,10314,-74.1240768,0,0,VICTORY BOULEVARD,0,1,40.6129884,1,STATEN ISLAND,,2,4,7,0,1,0,1442
0,KINGSTON AVENUE,31,0,2,11203,-73.94231540000001,0,0,WINTHROP STREET,0,1,40.657608,3,BROOKLYN,,0,0,0,0,0,0,0
0,BOSTON POST ROAD,31,0,6,10467,-73.86679790000002,1,0,WARING AVENUE,0,2,40.861337299999995,9,BRONX,,0,0,1,0,0,0,0
0,WEST 166 STREET,31,0,5,10032,-73.9406395,0,0,WEST 166 STREET,0,0,40.8398667,5,MANHATTAN,,1,2,2,1,1,0,0
0,EAST 90 STREET,31,0,3,10128,-73.94988199999997,5,0,EAST 90 STREET,0,1,40.7804368,9,MANHATTAN,,10,10,17,4,3,0,0
0,EAST 170 STREET,31,0,14,10456,-73.9074026,0,0,EAST 170 STREET,0,5,40.836232700000004,19,BRONX,,0,0,0,0,0,0,8
0,HENRY HUDSON PARKWAY,31,0,5,10032,-73.9459843,0,0,,0,0,40.84049829999999,5,NEW,,0,0,0,0,0,0,0
0,HILLSIDE AVENUE,31,0,10,11432,-73.78784509999998,0,0,HILLSIDE AVENUE,0,2,40.7118119,12,QUEENS,,0,0,0,0,0,0,2
0,VAN WYCK EXPRESSWAY,31,0,3,11415,-73.8261593,0,0,,0,0,40.715554600000004,3,QUEENS,,0,0,0,0,0,0,0
0,QUEENS BOULEVARD,31,0,14,11377,-73.90256540000001,1,0,QUEENS BOULEVARD,0,1,40.74128020000001,16,QUEENS,,0,0,0,0,0,0,803
0,WEST 138 STREET,31,0,3,10037,-73.9394577,1,0,WEST 138 STREET,0,5,40.8160255,9,MANHATTAN,,0,0,0,0,0,0,0
0,BEDFORD AVENUE,31,0,1,11222,-73.9516457,1,0,LORIMER STREET,0,3,40.723486799999996,5,BROOKLYN,,2,3,4,3,2,0,307
0,EAST MOSHOLU PARKWAY NORTH,31,0,11,10467,-73.88069209999998,1,0,EAST MOSHOLU PARKWAY NORTH,0,3,40.8728912,15,BRONX,,0,0,0,0,0,0,0
0,FLATLANDS AVENUE,31,0,22,11207,-73.8797328,2,0,FLATLANDS AVENUE,0,0,40.65556420000001,24,BROOKLYN,,0,0,0,0,0,0,0
0,32 STREET,31,0,3,11232,-74.0041015,0,0,32 STREET,0,1,40.657756899999995,4,BROOKLYN,,1,1,4,0,1,0,0
0,SUTTER AVENUE,31,0,5,11212,-73.9026252,2,0,JUNIUS STREET,0,3,40.668272200000004,10,BROOKLYN,,0,0,1,0,0,0,1
0,WINTHROP STREET,31,0,6,11225,-73.9531392,1,0,WINTHROP STREET,0,2,40.6569158,9,BROOKLYN,,1,0,2,0,1,0,0
0,WEST MOSHOLU PARKWAY SOUTH,31,0,18,10468,-73.8856752,0,0,WEST MOSHOLU PARKWAY SOUTH,0,5,40.8788714,23,BRONX,,0,0,2,0,0,0,0
0,14,31,0,7,10035,-73.9422047,0,0,,0,0,40.7842026,7,NEW,,0,0,0,0,0,0,0
0,HERKIMER STREET,31,0,2,11233,-73.9217116,1,0,HERKIMER STREET,0,1,40.6781158,4,BROOKLYN,,0,0,2,0,1,0,0
0,EAST 16 STREET,31,0,1,11229,-73.95740450000002,0,0,EAST 16 STREET,0,5,40.6091307,6,BROOKLYN,,0,2,6,0,1,0,528
0,FRANKLIN AVENUE,31,0,10,11216,-73.9557498,2,0,FRANKLIN AVENUE,0,1,40.6768082,13,BROOKLYN,,2,2,3,2,3,0,0
