OBJECTID,RecNum,FIRST_Year,FIRST_Boro,FIRST_CB,FIRST_Main,FIRST_From,FIRST_ToSt,FIRST_NumO,FIRST_NrSc,FIRST_Othe,FIRST_Inst,FIRST_Nu_1,FIRST_ReIn,FIRST_SchP,FIRST_Orde,FIRST_Or_1,FIRST_Or_2,FIRST_RecN,Shape_Leng,CRASHES 3,CRASHES -3,CRASHES 6,CRASHES -6,3 MONTH PERCENT DECREASE,6 MONTH PERCENT DECREASE,STREETS,LATLON,CRASHES TOTAL 3,CRASHES TOTAL 6,CRASHES TOTAL -3,CRASHES TOTAL -6,3 MONTH PERCENT DECREASE PLUS,6 MONTH PERCENT DECREASE PLUS
47,47,2014,2,8,CORLEAR AVENUE,WEST 231st STREET,WEST 232nd STREET,1,0,1,03/21/2014,0,,N/S,B-332359 / 332370,01/24/2014,03/25/2014,0,525.647008461,0.0,0.0,0.0,0.0,0.0,0.0,CORLEAR AVENUE+WEST 232nd STREET,"(40.8836768, -73.9109387)",102212.0,99807.0,47210.0,50668.0,0.0,0.0
46,46,2014,2,8,WEST 228th STREET,BROADWAY,MARBLE HILL AV.,1,0,1,03/25/2014,0,,N/S,B-332358 / 332370,01/24/2014,04/01/2014,0,628.125401116,0.0,0.0,0.0,0.0,0.0,0.0,WEST 228th STREET+MARBLE HILL AV.,"(40.8765849, -73.9094664)",102823.0,99527.0,47277.0,51206.0,0.0,0.0
45,45,2014,2,6,EAST 175th STREET,MARMION AVENUE,PROSPECT AVENUE,2,0,2,03/10/2014,0,,N/S,B-332357,01/24/2014,03/11/2014,0,696.6051115460001,0.0,0.0,0.0,0.0,0.0,0.0,EAST 175th STREET+PROSPECT AVENUE,"(40.6613913, -73.9864403)",101617.0,100395.0,48397.0,50069.0,0.0,0.0
44,44,2014,2,7,AQUEDUCT AVENUE,WEST 190th STREET,WEST 192nd STREET,1,0,1,04/04/2014,0,,N/S,B-332327,01/23/2014,04/09/2014,0,731.6931485439999,0.0,0.0,0.0,0.0,0.0,0.0,AQUEDUCT AVENUE+WEST 192nd STREET,"(40.8566373, -73.92969200000002)",103080.0,99233.0,48047.0,52012.0,0.0,0.0
43,43,2014,2,5,SEDGWICK AVENUE,WEST 179th STREET,HALL OF FAME TERRACE,2,2,0,03/13/2014,0,,PS 226,B-332265 / 332266,01/23/2014,03/21/2014,0,988.3515303360001,8.0,1.0,12.0,6.0,-7.0,-1.0,SEDGWICK AVENUE+HALL OF FAME TERRACE,"(40.8588201, -73.9108801)",101675.0,100067.0,47986.0,50112.0,-7.0,-1.0
42,42,2014,2,5,POPHAM AVENUE,WEST 176th STREET,WEST 175th STREET,1,0,1,03/21/2014,0,,N/S,B-332326,01/23/2014,03/25/2014,0,505.641009942,0.0,0.0,0.0,0.0,0.0,0.0,POPHAM AVENUE+WEST 175th STREET,"(40.8448706, -73.9351763)",102212.0,99807.0,47210.0,50668.0,0.0,0.0
41,41,2014,2,4,JESUP AVENUE,JESUP PLACE,WEST 172nd STREET,1,0,1,04/04/2014,0,,N/S,B-332325,03/11/2014,04/09/2014,0,514.035261199,0.0,0.0,0.0,0.0,0.0,0.0,JESUP AVENUE+WEST 172nd STREET,"(40.843961, -73.9390287)",103080.0,99233.0,48047.0,52012.0,0.0,0.0
40,40,2014,2,1,ST. ANNS AVENUE,WESTCHESTER AV.,EAST 159th STREET,3,2,1,03/19/2014,0,,CROTONA ACADEMY - SOUTH BRONX H.S.,B-332323 / 332324 / 332320 / 332321 / 332322,01/23/2014,03/21/2014,0,1974.49123886,0.0,0.0,0.0,0.0,0.0,0.0,ST. ANNS AVENUE+EAST 159th STREET,"(40.8234765, -73.91619469999999)",102206.0,99786.0,47325.0,50555.0,0.0,0.0
39,39,2014,2,5,NELSON AVENUE,MACOMBS ROAD,FEATHERBED LANE,3,2,1,03/07/2014,0,,ICHAN CHARTER SCHOOL, HALF NELSON PLAYGROUND,B- 332318 / 332319,01/23/2014,03/11/2014,0.0,0.0,0.0,1.0,2.0,0.0,0.5,NELSON AVENUE+FEATHERBED LANE,"(40.8460014, -73.9171255)",101095.0,100779.0,48579.0,49568.0,0.0,0.5
38,38,2014,2,4,INWOOD AVENUE,WEST CLARKE PLACE,WEST 170th STREET,1,0,1,03/14/2014,0,,N/S,B-332317,01/23/2014,03/21/2014,0,753.3277179710001,0.0,0.0,0.0,0.0,0.0,0.0,INWOOD AVENUE+WEST 170th STREET,"(40.842356, -73.93900219999999)",101682.0,100136.0,47841.0,50104.0,0.0,0.0
